Experiment	Treatment	Bottle	Time(hours)	Enzyme	Measurement	stdev
B	J	SJ3	24	APA	36,89167168	2,620630389
B	C	SC1	72	APA	934,8215068	35,58926654
B	C	SC2	72	APA	218,890078	17,55170403
B	C	SC3	72	APA	217,0969691	9,898389626
B	J	SJ1	72	APA	80,69517464	4,563969766
B	J	SJ2	72	APA	51,7786566	3,251087751
B	J	SJ3	72	APA	63,53934148	4,113278228
B	C	SC1	96	APA	675,0712703	18,64978264
B	C	SC2	96	APA	223,9896229	8,550261374
B	C	SC3	96	APA	89,07517299	3,72482459
B	J	SJ1	96	APA	55,22180536	2,328389385
B	J	SJ2	96	APA	53,00916695	3,761826033
B	J	SJ3	96	APA	53,95071521	4,094212742
B	C	SC1	120	APA	680,8446985	15,233016
B	C	SC2	120	APA	213,2499223	7,901159263
B	C	SC3	120	APA	107,178599	6,834930292
B	J	SJ1	120	APA	61,28547324	8,43904189
B	J	SJ2	120	APA	61,6910687	4,231917748
B	J	SJ3	120	APA	61,31386492	3,621362148
B	C	SC1	144	APA	745,3463078	39,96430087
B	C	SC2	144	APA	241,5756508	11,6667332
B	C	SC3	144	APA	133,7664321	7,393339947
B	J	SJ1	144	APA	53,32525052	4,084381345
B	J	SJ2	144	APA	59,68122865	7,239385473
B	J	SJ3	144	APA	54,77849571	6,331403528
A	C	C1	0	CHIT	2,824031754	0,391267644
A	C	C2	0	CHIT	2,043375842	0,240440651
A	C	C3	0	CHIT	2,25562791	0,114216852
A	J	J1	0	CHIT	0,685322356	0,053420041
A	J	J2	0	CHIT	0,769863434	0,069385926
A	J	J3	0	CHIT	0,741083492	0,075803875
A	C	C1	9	CHIT	2,849214202	0,143678152
A	C	C2	9	CHIT	1,766645636	0,030435291
A	C	C3	9	CHIT	2,112004933	0,069020752
A	J	J1	9	CHIT	0,567850383	0,042266406
A	J	J2	9	CHIT	0,488152084	0,014088802
A	J	J3	9	CHIT	0,458265221	0,056355208
A	C	C1	24	CHIT	22,34288265	0,352553212
A	C	C2	24	CHIT	6,445375703	0,945599392
A	C	C3	24	CHIT	2,892678097	0,509453546
A	J	J1	24	CHIT	1,988206917	0,092547909
A	J	J2	24	CHIT	1,478932604	0,086426717
A	J	J3	24	CHIT	2,627855454	0,017285343
A	C	C1	43	CHIT	23,3323797	0,795448514
A	C	C2	43	CHIT	16,61833546	0,667420443
A	C	C3	43	CHIT	15,66072338	0,483535381
A	J	J1	43	CHIT	1,358410393	0,070504687
A	J	J2	43	CHIT	1,214499589	0,07418041
A	J	J3	43	CHIT	1,480801824	0,188304117
A	C	C1	67	CHIT	18,36868161	0,409283017
A	C	C2	67	CHIT	14,71677732	1,251206969
A	C	C3	67	CHIT	13,12899285	1,131296436
A	J	J1	67	CHIT	2,56030246	0,210512469
A	J	J2	67	CHIT	2,500760543	0,210512469
A	J	J3	67	CHIT	3,483202184	0,387022465
B	C	SC1	0	CHIT	2,433833418	0,059206786
B	C	SC2	0	CHIT	1,627113353	0,112959348
B	C	SC3	0	CHIT	1,83562998	0,536597732
B	J	SJ1	0	CHIT	2,625258519	0,562059219
B	J	SJ2	0	CHIT	1,907414392	0,106572214
B	J	SJ3	0	CHIT	1,558747245	0,284192571
B	C	SC1	24	CHIT	9,179053935	0,036769194
B	C	SC2	24	CHIT	1,47488968	0,087429119
B	C	SC3	24	CHIT	1,895866175	0,137199245
B	J	SJ1	24	CHIT	1,84876391	0,081583517
B	J	SJ2	24	CHIT	1,536711403	0,18693132
B	J	SJ3	24	CHIT	1,889978392	0,074939245
B	C	SC1	72	CHIT	13,3252603	1,876107335
B	C	SC2	72	CHIT	2,193921485	0,596667985
B	C	SC3	72	CHIT	3,849910299	0,074583498
B	J	SJ1	72	CHIT	2,09899219	0,551917886
B	J	SJ2	72	CHIT	1,761465808	0,283417293
B	J	SJ3	72	CHIT	1,645441114	0,149166996
B	C	SC1	96	CHIT	6,253449683	0,118475558
B	C	SC2	96	CHIT	2,126329817	0,12079126
B	C	SC3	96	CHIT	2,196945936	0,178232209
B	J	SJ1	96	CHIT	1,482938507	0,18683269
B	J	SJ2	96	CHIT	1,247551442	0,131057971
B	J	SJ3	96	CHIT	1,471169154	0,515975748
B	C	SC1	120	CHIT	6,949202128	0,051036309
B	C	SC2	120	CHIT	2,852688033	0,138041559
B	C	SC3	120	CHIT	2,663410154	0,084431427
B	J	SJ1	120	CHIT	1,933338335	0,152210919
B	J	SJ2	120	CHIT	1,419584092	0,286799297
B	J	SJ3	120	CHIT	1,277625683	0,304196591
B	C	SC1	144	CHIT	6,415772481	0,206166903
B	C	SC2	144	CHIT	3,167484651	0,037028669
B	C	SC3	144	CHIT	2,411974919	0,085704715
B	J	SJ1	144	CHIT	1,44637692	0,077923765
B	J	SJ2	144	CHIT	1,08276261	0,05046157
B	J	SJ3	144	CHIT	0,945397204	0,064135536
A	C	C1	0	AMA	29,13992376	0,502270556
A	C	C2	0	AMA	23,74315168	1,137622188
A	C	C3	0	AMA	34,21923866	3,552389605
A	J	J1	0	AMA	3,591234363	0,232186723
